"Ženska imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
"Cynthia";-;-;-;-;-;5
"Èarna";13;15;17;18;19;21
"Dada";6;5;5;6;6;6
"Dafina";16;17;18;20;24;26
"Dafinka";6;7;7;7;7;8
"Dagmar";87;84;82;83;87;81
"Daja";8;9;9;11;11;11
"Dajana";225;228;232;240;249;249
"Dali";5;5;5;5;6;7
"Dalia";20;21;22;25;26;29
"Daliborka";159;160;165;165;166;169
"Dalida";19;20;20;20;20;20
"Dalija";37;39;39;39;41;43
"Dalila";28;33;36;41;43;46
"Dalja";13;13;13;13;13;13
"Damaris";6;7;7;7;7;7
"Damijana";495;494;496;494;495;492
"Damira";26;26;30;31;33;32
"Damjana";1520;1520;1516;1515;1514;1507
"Damjanca";14;14;14;14;14;14
"Damjanka";5;5;5;5;5;5
"Dana";127;131;130;132;133;131
"Danaja";164;177;185;195;205;211
"Danche";-;-;-;-;-;6
"Daneja";5;5;6;7;7;7
"Dani";-;5;6;6;6;6
"Danica";6184;6123;6070;6024;5984;5911
"Danica Ana";5;5;-;-;-;-
"Danica Marija";9;8;8;8;7;7
"Daniela";942;944;950;943;943;943
"Danijela";3040;3022;3015;2990;2973;2953
"Danijela Ana";7;6;6;6;6;5
"Danijela Marija";18;16;15;15;14;14
"Danila";272;272;271;267;266;262
"Danira";6;6;6;6;6;6
"Danja";10;10;10;9;9;9
"Danjela";155;154;151;150;150;147
"Danka";56;55;56;55;57;55
"Danuša";9;10;10;10;10;10
"Danuška";12;12;12;11;11;11
"Dara";53;51;51;51;52;52
"Daria";30;35;34;33;38;41
"Darica";14;15;14;14;13;13
"Darija";652;650;654;652;652;648
"Darina";22;21;22;21;23;23
"Darinka";4709;4680;4660;4623;4588;4549
"Darinka Marija";32;31;30;30;28;26
"Darinka Martina";5;5;5;5;5;5
"Darja";6247;6237;6232;6217;6215;6197
"Darja Marija";14;14;13;13;13;12
"Darjana";8;8;8;7;7;7
"Darka";214;215;215;213;214;215
"Darma";-;-;-;5;5;5
"Darya";-;-;-;-;-;5
"Dashurije";6;6;8;9;9;11
"Daša";841;877;906;934;957;978
"Dašenka";6;6;6;6;6;6
"Daška";6;6;6;6;6;6
"Dašurije";6;6;5;-;-;-
"Davida";5;5;5;5;5;5
"Davorina";93;92;90;90;89;88
"Davorka";81;82;83;84;87;85
